"time","temperature","temperature_prev","relative_humidity_prev","apparent_temp_prev","precipitation_prob_prev","precipitation_inch_prev","cloud_cover_perc_prev","visibility_prev","wind_speed_prev","uv_index_prev","sunshine_duration_prev"
"2025-02-02T17:00",30.1,30,57,18.5,0,0,100,79199.477,13.8,0.4,0
"2025-02-02T18:00",30.9,30.1,59,18.6,0,0,100,79199.477,14.2,0.25,0
"2025-02-02T19:00",31.7,30.9,59,19.4,1,0,100,79199.477,14,0.1,0
"2025-02-02T20:00",31.9,31.7,59,21,2,0,100,79199.477,12.4,0,0
"2025-02-02T21:00",32,31.9,58,23.1,3,0,100,79199.477,8.1,0,0
"2025-02-02T22:00",31.7,32,61,24.1,2,0,100,79199.477,6.3,0,0
"2025-02-02T23:00",31.3,31.7,65,24.8,1,0,100,79199.477,4,0,0
"2025-02-03T00:00",31.4,31.3,68,25.1,0,0,100,79199.477,2.6,0,0
"2025-02-03T01:00",31.1,31.4,69,25.7,0,0,100,79199.477,1.4,0,0
"2025-02-03T02:00",31.3,31.1,71,25.3,0,0,100,79199.477,1.9,0,0
"2025-02-03T03:00",31.7,31.3,70,25.8,0,0,100,79199.477,1,0,0
"2025-02-03T04:00",31.7,31.7,70,26.5,0,0,100,79199.477,0.4,0,0
"2025-02-03T05:00",30.4,31.7,72,26.4,0,0,100,79199.477,0.7,0,0
"2025-02-03T06:00",29.9,30.4,76,25.3,0,0,100,79199.477,0.4,0,0
"2025-02-03T07:00",29.9,29.9,80,24.7,0,0,100,79199.477,0.7,0,0
"2025-02-03T08:00",29.6,29.9,82,24.9,0,0,100,79199.477,0.5,0,0
"2025-02-03T09:00",31.3,29.6,86,24.1,0,0,100,79199.477,1.9,0,0
"2025-02-03T10:00",34.2,31.3,85,26.1,0,0,100,79199.477,1.8,0.1,266.63
"2025-02-03T11:00",37.2,34.2,81,28.7,0,0,100,79199.477,2.8,0.6,3600
"2025-02-03T12:00",40.2,37.2,77,31.7,0,0,100,79199.477,3.4,1.35,3600
"2025-02-03T13:00",43.8,40.2,74,34.9,0,0,100,79199.477,3.7,2,3600
"2025-02-03T14:00",48.3,43.8,71,38.6,0,0,100,79199.477,4.6,2.7,3600
"2025-02-03T15:00",50.9,48.3,66,43.2,0,0,100,79199.477,5.4,3.25,3600
"2025-02-03T16:00",51.2,50.9,65,45.6,0,0,100,79199.477,6.8,2.7,3600
"2025-02-03T17:00",47.6,51.2,68,46.2,0,0,100,79199.477,6.7,2.05,3600
"2025-02-03T18:00",42.9,47.6,78,43.3,0,0,100,79199.477,5,1.3,3600
"2025-02-03T19:00",40.3,42.9,84,39,0,0,100,79199.477,2.8,0.45,3600
"2025-02-03T20:00",38.6,40.3,86,35.6,0,0,100,79199.477,3.8,0.05,0
"2025-02-03T21:00",38.1,38.6,87,33.7,0,0,100,79199.477,3.8,0,0
"2025-02-03T22:00",38.5,38.1,88,32.5,0,0,100,79199.477,5.4,0,0
"2025-02-03T23:00",39.9,38.5,88,33.2,0,0,100,79199.477,4.8,0,0
"2025-02-04T00:00",40.1,39.9,89,34.4,0,0,100,79199.477,5.8,0,0
"2025-02-04T01:00",40.5,40.1,90,34.2,0,0,100,79199.477,7.1,0,0
"2025-02-04T02:00",40.2,40.5,89,34.9,0,0,100,79199.477,6.3,0,0
"2025-02-04T03:00",42.6,40.2,87,34.6,0,0,34,79199.477,6,0,0
"2025-02-04T04:00",43.7,42.6,87,37.4,0,0,100,79199.477,5.9,0,0
"2025-02-04T05:00",44.8,43.7,87,38.7,0,0,100,79199.477,6.4,0,0
"2025-02-04T06:00",45.6,44.8,89,40.1,0,0.004,100,79199.477,6.3,0,0
"2025-02-04T07:00",43.8,45.6,91,40.1,0,0.004,100,79199.477,9.1,0,0
"2025-02-04T08:00",43,43.8,90,37.1,0,0,100,79199.477,10.7,0,0
"2025-02-04T09:00",38.3,43,89,35.5,0,0,100,79199.477,12,0,0
"2025-02-04T10:00",38.9,38.3,83,28.8,0,0,6,79199.477,14,0.1,358.39
