"geo_label_citystate","strata_race_label","strata_sex_label","All Cancer Deaths","Lung Cancer Deaths","Colorectal Cancer Deaths","Cardiovascular Disease Deaths","Heart Disease Deaths","Diabetes Deaths","Deaths from All Causes","Premature Death","Life Expectancy","Gun Deaths (Firearms)","Injury Deaths","Motor Vehicle Deaths","Homicides","Pneumonia or Influenza Deaths","HIV-Related Deaths","COVID-19 Deaths","Opioid Overdose Deaths","Suicide","Drug Overdose Deaths"
"Washington, DC","Black","Female",171.1744792,29.78522188,15.42614201,273.3431453,193.4450618,26.65195334,918.995509,10484.97218,75.62220051,11.33449453,115.5394702,9.161219738,13.16168555,9.632477117,8.461436128,10.31408341,53.95477266,4.328965586,71.2503667
"Louisville, KY","White","Female",144.2018141,38.94634606,8.592708053,187.2487421,143.5479842,13.88036392,801.7722662,7423.894393,78.76938429,5.437198685,83.21499702,7.194558825,3.588796111,9.316232099,0,11.10901293,41.17791826,8.284470843,48.58311266
"San Antonio, TX","White","Male",224.9577509,47.86604843,21.15187447,0,307.6296652,0,0,12573.94859,71.40626296,32.21558439,155.7576305,20.02421872,9.538153033,15.04685198,5.192653255,23.75363972,30.90267193,43.42200893,51.50741953
"Kansas City, MO","White","Female",118.1288808,26.15264469,9.159903176,162.5485543,124.0481418,10.4742021,640.4360691,4941.826676,82.38379399,5.474061277,60.17945748,7.671762218,3.837621217,10.15181944,0,10.36386303,16.29297077,6.419849387,25.63274291
"Dallas, TX","Black","Female",137.6985732,25.10763367,13.64681082,231.4369613,167.9115613,31.72381342,749.1853075,8533.647901,78.9333726,7.738354372,59.40657361,12.42310836,9.384979038,7.701183625,5.677702617,0,9.582129588,2.967141552,25.00821405
"El Paso, TX","White","Female",153.9429046,23.67587765,11.16294112,227.9237097,181.0854178,20.61538409,0,8412.772378,77.87644435,0,67.80685847,0,0,10.45489831,0,0,21.32499719,0,32.90152447
"Oakland, CA","Black","Male",194.2186836,42.49237614,18.31926581,386.2575687,262.1521116,66.93273268,1370.992323,19203.64137,67.56678458,96.72184987,303.5706708,28.96163828,91.75936881,0,9.117510452,0,98.63048997,21.7851066,136.6178441
"Charlotte, NC","Hispanic","Male",126.8476,0,0,231.7167977,176.1294715,11.42885732,991.3084486,7553.93132,77.55747889,16.48085354,102.5943195,29.15940957,16.98426858,0,0,0,30.59670798,8.356429746,35.68088694
"San Diego, CA","Asian/PI","Male",114.5127403,25.76315022,12.517137,150.4379444,102.6382631,23.97044688,476.7115895,3689.566945,84.21113895,0,38.12591572,5.41789705,0,0,0,8.27006578,5.625272343,7.585793144,11.38738175
"Philadelphia, PA","White","Male",185.4497496,40.07343314,16.3095588,310.5939775,262.7740566,26.5693276,1049.894061,10061.63505,74.86695777,18.20383976,177.3992624,13.32196661,8.327695939,17.96619101,0,15.28588051,91.50269675,25.65737448,107.4745708
"Kansas City, MO","Hispanic","Female",93.75653445,0,0,92.82144376,64.44723985,0,421.4859888,4347.465112,0,0,38.09029747,0,0,0,0,0,0,0,0
"Boston, MA","White","Male",155.6941939,29.44277499,0,0,156.0024701,14.5161468,769.8760859,4991.738831,79.85235392,0,86.12474124,0,0,7.576494376,0,15.32209275,45.94745876,10.81215274,51.35109573
"Phoenix, AZ","Black","Female",172.7220057,28.35914548,21.41289733,240.0470771,152.4876474,39.5817723,847.7853185,9515.415141,78.71565541,9.813436965,85.2790513,16.87773819,12.04562102,11.17607125,0,0,21.10402358,0,35.29871955
"Charlotte, NC","Black","Female",154.5787339,28.74625412,15.10958191,219.3687574,137.8111146,37.42827771,792.9881164,7388.365407,78.06543021,5.993516793,49.92215727,7.221839338,3.450656854,7.7766236,5.50750295,0,21.10333617,0,23.99424219
"Austin, TX","White","Female",112.7363497,19.02947749,9.33530485,154.2534931,109.7618749,0,618.9856187,3649.392975,83.33426309,4.363831079,53.73120331,4.554407832,0,8.600219231,0,6.822873037,13.27444077,9.960587207,20.93521361
"Columbus, OH","Black","Male",199.1277982,47.37453624,17.8175493,355.2010465,262.2330735,39.28767416,1305.162669,17370.85975,68.67312026,68.09126415,276.3627762,28.62793022,57.73940819,0,4.740962478,0,126.8359957,19.71962076,152.5371517
"Seattle, WA","White","Female",108.9971764,19.9893371,0,0,0,10.44968161,498.1729012,3074.221333,86.27660048,2.088715212,52.78320241,4.274986246,0,0,0,8.740454045,23.79384661,6.727200639,28.44984119
"Phoenix, AZ","Hispanic","Male",135.4854517,16.24797759,17.545394,258.4883467,175.5619802,54.411275,1001.748142,9015.365769,77.04794838,28.91514448,154.687072,26.18110862,19.32399354,18.98574628,3.565011401,15.05183269,43.95135715,18.03489228,60.0573798
"Long Beach, CA","White","Male",195.8671322,33.71907785,14.5194214,359.1247397,291.3239697,31.788031,1067.808971,8214.059264,76.42884218,14.21332601,120.3442548,16.76534481,0,21.83410017,0,20.45169225,45.21100686,24.70142831,59.2866008
"Portland, OR","White","Male",193.5578091,28.79237728,17.63444463,280.0986485,207.5782441,29.04764322,1100.111057,10461.59745,74.0310775,22.55283786,183.9314337,12.91847778,9.744869855,0,2.893923488,18.86452525,76.05121126,32.5679805,103.5729668
"Las Vegas, NV","Hispanic","Female",90.83004795,11.18080567,9.181450297,144.4676265,107.3078071,18.09231734,500.8009594,3639.446359,85.84196279,4.000418755,34.95425051,6.365722363,3.995340123,12.60703671,0,9.250906843,6.377703042,3.924884615,8.557985653
