"Designation","Status","Location","Remote_Work","ExpLevel","FirmSize","Salary_USD"
"Data Engineer",1,1,1,3,2,128903
"Data Analyst",1,1,1,3,2,147999
"Data Analyst",1,1,1,3,2,115153
"Data Scientist",1,1,3,2,2,124128
"Data Scientist",1,1,3,2,2,85935
"Data Engineer",1,1,1,2,2,162322
"Data Engineer",1,1,1,2,2,143225
"Data Analyst",1,1,1,3,2,97489
"Data Analyst",1,1,1,3,2,81065
"Data Scientist",1,1,1,3,2,130449
"Data Scientist",1,1,1,3,2,94872
"Data Scientist",1,1,1,3,2,139406
"Data Scientist",1,1,1,3,2,117445
"Data Analyst",1,1,3,3,2,94529
"Data Analyst",1,1,3,3,2,110761
"Data Analyst",1,1,3,2,2,101461
"Data Analyst",1,1,3,2,2,120787
"Data Engineer",1,1,1,3,2,231070
"Data Engineer",1,1,1,3,2,190967
"Data Scientist",1,1,1,3,2,157758
"Data Scientist",1,1,1,3,2,114733
"Data Analyst",1,1,1,3,2,86241
"Data Engineer",1,1,3,3,2,173722
"Data Engineer",1,1,3,3,2,126344
"Data Engineer",1,1,3,3,2,210169
"Data Engineer",1,1,3,3,2,152850
"Data Scientist",1,1,3,3,3,171870
"Data Scientist",1,1,3,3,3,114580
"Data Analyst",1,1,1,3,2,118581
"Data Analyst",1,1,1,3,2,124128
"Data Analyst",1,1,1,3,2,105032
"Data Analyst",1,1,1,3,2,162322
"Data Analyst",1,1,1,2,2,110283
"Data Analyst",1,1,1,3,2,107801
"Data Analyst",1,1,1,3,2,86241
"Data Analyst",1,1,1,3,2,107801
"Data Analyst",1,1,1,3,2,86241
"Data Engineer",1,1,1,3,2,157930
"Data Engineer",1,1,1,3,2,126344
"Data Analyst",1,1,1,2,2,159457
"Data Engineer",1,1,1,3,2,232884
"Data Analyst",1,1,1,3,2,130430
"Data Analyst",1,1,1,3,2,104344
"Data Engineer",1,1,1,3,2,123054
"Data Engineer",1,1,1,3,2,89468
"Head of Data Science",1,1,1,3,2,213883
"Head of Data Science",1,1,1,3,2,160293
"Analytics Engineer",1,1,1,3,2,167096
"Data Engineer",1,1,1,3,2,149527
"Data Engineer",1,1,3,3,2,103886
"Data Scientist",1,1,3,3,2,91234
"Data Engineer",1,1,3,3,3,107896
"Data Analyst",1,1,1,3,2,128903
"Data Science Manager",1,1,1,3,2,154055
"Data Science Manager",1,1,1,3,2,130947
"Data Scientist",1,1,1,3,2,159457
